PC,PLAATS,GEMEENTE,PROVINCIE
1546,Jisp,Wormerland,Noord Holland
1550,Westzaan,Zaanstad,Noord Holland
1551,Westzaan,Zaanstad,Noord Holland
1560,Krommenie,Zaanstad,Noord Holland
1561,Krommenie,Zaanstad,Noord Holland
1562,Krommenie,Zaanstad,Noord Holland
1566,Assendelft,Zaanstad,Noord Holland
1567,Assendelft,Zaanstad,Noord Holland
1600,Enkhuizen,Enkhuizen,Noord Holland
1601,Enkhuizen,Enkhuizen,Noord Holland
1602,Enkhuizen,Enkhuizen,Noord Holland
1606,Venhuizen,Drechterland,Noord Holland
1607,Hem,Drechterland,Noord Holland
1608,Wijdenes,Drechterland,Noord Holland
1609,Oosterleek,Drechterland,Noord Holland
1610,Bovenkarspel,Stede Broec,Noord Holland
1611,Bovenkarspel,Stede Broec,Noord Holland
1613,Grootebroek,Stede Broec,Noord Holland
1614,Lutjebroek,Stede Broec,Noord Holland
1616,Hoogkarspel,Drechterland,Noord Holland
1617,Westwoud,Drechterland,Noord Holland
1619,Andijk,Andijk,Noord Holland
1620,Hoorn (NH),Hoorn,Noord Holland
1621,Hoorn (NH),Hoorn,Noord Holland
1622,Hoorn (NH),Hoorn,Noord Holland
1623,Hoorn (NH),Hoorn,Noord Holland
1624,Hoorn (NH),Hoorn,Noord Holland
1625,Hoorn (NH),Hoorn,Noord Holland
1627,Hoorn (NH),Hoorn,Noord Holland
1628,Hoorn (NH),Hoorn,Noord Holland
1631,Oudendijk (NH),Wester Koggenland,Noord Holland
1633,Avenhorn,Wester Koggenland,Noord Holland
1634,Scharwoude,Wester Koggenland,Noord Holland
1636,Schermerhorn,Schermer,Noord Holland
1641,Spierdijk,Wester Koggenland,Noord Holland
1642,Spierdijk,Wester Koggenland,Noord Holland
1643,Spierdijk,Wester Koggenland,Noord Holland
1645,Ursem,Wester Koggenland,Noord Holland
1646,Ursem Gemeente Schermer,Schermer,Noord Holland
1647,Berkhout,Wester Koggenland,Noord Holland
1648,De Goorn,Wester Koggenland,Noord Holland
1650,Zuidermeer,Wester Koggenland,Noord Holland
1652,Zuidermeer,Wester Koggenland,Noord Holland
1654,Benningbroek,Noorder Koggenland,Noord Holland
1655,Sijbekarspel,Noorder Koggenland,Noord Holland
1657,Abbekerk,Noorder Koggenland,Noord Holland
1658,Lambertschaag,Noorder Koggenland,Noord Holland
1661,De Weere,Opmeer,Noord Holland
1662,De Weere,Opmeer,Noord Holland
1663,De Weere,Opmeer,Noord Holland
1670,Medemblik,Medemblik,Noord Holland
1671,Medemblik,Medemblik,Noord Holland
1674,Opperdoes,Noorder Koggenland,Noord Holland
1676,Twisk,Noorder Koggenland,Noord Holland
1678,Oostwoud,Noorder Koggenland,Noord Holland
1679,Midwoud,Noorder Koggenland,Noord Holland
1680,Zwaagdijk,Wervershoof,Noord Holland
1681,Zwaagdijk,Wervershoof,Noord Holland
1682,Zwaagdijk,Wervershoof,Noord Holland
1683,Zwaagdijk,Wervershoof,Noord Holland
1684,Zwaagdijk,Wervershoof,Noord Holland
1685,Zwaagdijk,Wognum,Noord Holland
1686,Zwaagdijk,Wognum,Noord Holland
1687,Wognum,Wognum,Noord Holland
1688,Nibbixwoud,Wognum,Noord Holland
1689,Zwaag,Hoorn,Noord Holland
1691,Hauwert,Noorder Koggenland,Noord Holland
1692,Hauwert,Noorder Koggenland,Noord Holland
1693,Wervershoof,Wervershoof,Noord Holland
1695,Blokker,Hoorn,Noord Holland
1696,Oosterblokker,Drechterland,Noord Holland
1697,Schellinkhout,Drechterland,Noord Holland
1700,Heerhugowaard,Heerhugowaard,Noord Holland
1701,Heerhugowaard,Heerhugowaard,Noord Holland
1702,Heerhugowaard,Heerhugowaard,Noord Holland
1703,Heerhugowaard,Heerhugowaard,Noord Holland
1704,Heerhugowaard,Heerhugowaard,Noord Holland
1705,Heerhugowaard,Heerhugowaard,Noord Holland
1710,Hensbroek,Obdam,Noord Holland
1711,Hensbroek,Obdam,Noord Holland
1713,Obdam,Obdam,Noord Holland
1715,Spanbroek,Opmeer,Noord Holland
1716,Opmeer,Opmeer,Noord Holland
1718,Hoogwoud,Opmeer,Noord Holland
1719,Aartswoud,Opmeer,Noord Holland
1720,Broek op Langedijk,Langedijk,Noord Holland
1721,Broek op Langedijk,Langedijk,Noord Holland
1722,Zuid Scharwoude,Langedijk,Noord Holland
1723,Noord Scharwoude,Langedijk,Noord Holland
1724,Oudkarspel,Langedijk,Noord Holland
1730,Winkel,Niedorp,Noord Holland
1731,Winkel,Niedorp,Noord Holland
1732,Lutjewinkel,Niedorp,Noord Holland
1733,Nieuwe Niedorp,Niedorp,Noord Holland
1734,Oude Niedorp,Niedorp,Noord Holland
1735,t Veld,Niedorp,Noord Holland
1736,Zijdewind,Niedorp,Noord Holland
1738,Waarland,Harenkarpsel,Noord Holland
1740,Schagen,Schagen,Noord Holland
1741,Schagen,Schagen,Noord Holland
1742,Schagen,Schagen,Noord Holland
1744,Sint Maarten,Harenkarpsel,Noord Holland
1746,Dirkshorn,Harenkarpsel,Noord Holland
1747,Tuitjenhorn,Harenkarpsel,Noord Holland
1749,Warmenhuizen,Harenkarpsel,Noord Holland
1750,Schagerbrug,Zijpe,Noord Holland
1751,Schagerbrug,Zijpe,Noord Holland
1752,Sint Maartensbrug,Zijpe,Noord Holland
1753,Sint Maartensvlotbrug,Zijpe,Noord Holland
1754,Burgerbrug,Zijpe,Noord Holland
1755,Petten,Zijpe,Noord Holland
1756,t Zand (NH),Zijpe,Noord Holland
1757,Oudesluis,Zijpe,Noord Holland
1759,Callantsoog,Zijpe,Noord Holland
1760,Anna Paulowna,Anna Paulowna,Noord Holland
1761,Anna Paulowna,Anna Paulowna,Noord Holland
1764,Breezand,Anna Paulowna,Noord Holland
1766,Wieringerwaard,Anna Paulowna,Noord Holland
1767,Kolhorn,Niedorp,Noord Holland
1768,Barsingerhorn,Niedorp,Noord Holland
1770,Wieringerwerf,Wieringermeer,Noord Holland
1771,Wieringerwerf,Wieringermeer,Noord Holland
1773,Kreileroord,Wieringermeer,Noord Holland
1774,Slootdorp,Wieringermeer,Noord Holland
1775,Middenmeer,Wieringermeer,Noord Holland
1777,Hippolytushoef,Wieringen,Noord Holland
1778,Westerland,Wieringen,Noord Holland
1779,Den Oever,Wieringen,Noord Holland
1780,Den Helder,Den Helder,Noord Holland
1781,Den Helder,Den Helder,Noord Holland
1782,Den Helder,Den Helder,Noord Holland
1783,Den Helder,Den Helder,Noord Holland
1784,Den Helder,Den Helder,Noord Holland
1785,Den Helder,Den Helder,Noord Holland
1786,Den Helder,Den Helder,Noord Holland
1787,Den Helder,Den Helder,Noord Holland
1788,Den Helder,Den Helder,Noord Holland
1790,Den Burg,Texel,Noord Holland
1791,Den Burg,Texel,Noord Holland
1792,Oudeschild,Texel,Noord Holland
1793,De Waal,Texel,Noord Holland
1794,Oosterend (NH),Texel,Noord Holland
1795,De Cocksdorp,Texel,Noord Holland
1796,De Koog,Texel,Noord Holland
1797,Den Hoorn Texel,Texel,Noord Holland
1800,Alkmaar,Alkmaar,Noord Holland
1801,Alkmaar,Alkmaar,Noord Holland
1802,Alkmaar,Alkmaar,Noord Holland
1810,Alkmaar,Alkmaar,Noord Holland
1811,Alkmaar,Alkmaar,Noord Holland
1812,Alkmaar,Alkmaar,Noord Holland
1813,Alkmaar,Alkmaar,Noord Holland
1814,Alkmaar,Alkmaar,Noord Holland
1815,Alkmaar,Alkmaar,Noord Holland
1816,Alkmaar,Alkmaar,Noord Holland
1817,Alkmaar,Alkmaar,Noord Holland
1821,Alkmaar,Alkmaar,Noord Holland
1822,Alkmaar,Alkmaar,Noord Holland
1823,Alkmaar,Alkmaar,Noord Holland
1824,Alkmaar,Alkmaar,Noord Holland
1825,Alkmaar,Alkmaar,Noord Holland
1826,Alkmaar,Alkmaar,Noord Holland
1827,Alkmaar,Alkmaar,Noord Holland
1829,Oudorp (NH),Alkmaar,Noord Holland
1830,Koedijk,Alkmaar,Noord Holland
1831,Koedijk,Alkmaar,Noord Holland
1832,Koedijk,Langedijk,Noord Holland
1834,Sint Pancras,Langedijk,Noord Holland
1840,Stompetoren,Schermer,Noord Holland
1841,Stompetoren,Schermer,Noord Holland
1842,Oterleek,Schermer,Noord Holland
1843,Grootschermer,Schermer,Noord Holland
1844,Driehuizen,Schermer,Noord Holland
1846,Zuidschermer,Schermer,Noord Holland
1847,Zuidschermer,Schermer,Noord Holland
1850,Heiloo,Heiloo,Noord Holland
1851,Heiloo,Heiloo,Noord Holland
1852,Heiloo,Heiloo,Noord Holland
1860,Bergen (NH),Bergen (NH),Noord Holland
1861,Bergen (NH),Bergen (NH),Noord Holland
1862,Bergen (NH),Bergen (NH),Noord Holland
1865,Bergen aan Zee,Bergen (NH),Noord Holland
1870,Schoorl,Bergen (NH),Noord Holland
1871,Schoorl,Bergen (NH),Noord Holland
1873,Groet,Bergen (NH),Noord Holland
1900,Castricum,Castricum,Noord Holland
1901,Castricum,Castricum,Noord Holland
1902,Castricum,Castricum,Noord Holland
1906,Limmen,Castricum,Noord Holland
1910,Uitgeest,Uitgeest,Noord Holland
1911,Uitgeest,Uitgeest,Noord Holland
1920,Akersloot,Castricum,Noord Holland
1921,Akersloot,Castricum,Noord Holland
1930,Egmond aan Zee,Bergen (NH),Noord Holland
1931,Egmond aan Zee,Bergen (NH),Noord Holland
1934,Egmond aan de Hoef,Bergen (NH),Noord Holland
1935,Egmond Binnen,Bergen (NH),Noord Holland
1940,Beverwijk,Beverwijk,Noord Holland
1941,Beverwijk,Beverwijk,Noord Holland
1942,Beverwijk,Beverwijk,Noord Holland
1943,Beverwijk,Beverwijk,Noord Holland
